0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:26:47 -0600] "GET /csj/MakeTable HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:43:33 -0600] "GET /csj/Phones HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:43:35 -0600] "GET /csj/OrderPage?itemID=DroidMAXX HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:43:36 -0600] "GET /csj/Checkout;jsessionid=990411447887910D525897E7341CEA16? HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:43:42 -0600] "GET /csj/Phones HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:43:44 -0600] "GET /csj/OrderPage?itemID=MotoX HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:43:45 -0600] "GET /csj/Checkout? HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:53:44 -0600] "GET /csj/Phones HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:53:45 -0600] "GET /csj/OrderPage?itemID=DroidMAXX HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:53:47 -0600] "GET /csj/Tablets HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:53:48 -0600] "GET /csj/OrderPage?itemID=Nexus HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:53:50 -0600] "GET /csj/Checkout? HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:57:49 -0600] "GET /csj/Phones HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:57:51 -0600] "GET /csj/OrderPage?itemID=DroidMAXX HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:57:53 -0600] "GET /csj/Tablets HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:57:54 -0600] "GET /csj/OrderPage?itemID=Kindle HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:57:55 -0600] "GET /csj/Checkout? HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:58:39 -0600] "GET /csj/Phones HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:58:40 -0600] "GET /csj/OrderPage?itemID=DroidMAXX HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [08/Feb/2016:06:58:41 -0600] "GET /csj/Checkout? HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [08/Feb/2016:07:00:46 -0600] "GET /csj/TV HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [08/Feb/2016:07:00:48 -0600] "GET /csj/OrderPage?itemID=Panasonic HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [08/Feb/2016:07:00:49 -0600] "GET /csj/Checkout? HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [08/Feb/2016:07:03:02 -0600] "GET /csj/Phones HTTP/1.1" 200 2829
0:0:0:0:0:0:0:1 - - [08/Feb/2016:07:03:03 -0600] "GET /csj/OrderPage?itemID=DroidMAXX HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [08/Feb/2016:07:03:04 -0600] "GET /csj/Checkout? HTTP/1.1" 200 1819
